Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer salary,min_salary,max_salary,avg_salary,Company_text,check_state,state1,python_yn,r_studio,spark,aws,excel
Data Scientist,$90K-$146K (Glassdoor est.),"We are Mythical Games. A venture-backed next-generation game technology company at the intersection of video games and economics led by industry veterans. Our goal is to lead the industry with the launch of exceptional video game experiences that leverage distributed ledger technology, while also providing a platform of robust tools that will allow any other game developers to do the same.

ABOUT THE ROLE:

We are looking for a highly-skilled Data Scientist with a proven track record performing statistical analysis, prediction, and recommendation on diverse and large-scale e-commerce datasets preferably. In this role, you will be responsible for delivering models in production that optimize marketplace interactions, generate insights, and detect anomalies among other things. While this role is production focused, as one of the first members, you will be critical for the development of Data Science at Mythical Games.

WHAT YOU'LL DO:
Build machine learning systems to understand the secondary marketplace eCommerce ecosystem
Work with internal stakeholders to expand our technical capabilities, thereby creating a more robust data environment
Utilize natural language processing to uncover insights from contextual data
Develop models to optimize marketplace recommendations
Build anomaly detection systems for detecting fraud or erroneous data
The nasty but inevitable job of data wrangling
Internal Data Science reading group - spend time each week keeping up with current research and presenting interesting findings
WHO YOU ARE:
Bachelor's Degree in a quantitative field, Ph.D. preferred
3+ years of professional experience with Python
Experience with tools and frameworks like Pytorch, TensorFlow, Scikit-Learn, SQL, etc
Familiarity with deployment and tracking tools such as MlFlow, Airflow, Docker, Kubernetes
Familiarity with mathematical models underlying data science methods
Drive to learn and improve",4.7,"Mythical Games
4.7","Los Angeles, CA",-1,51 to 200 Employees,2018,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1,0,0,90,146,118.0,"Mythical Games
",1, CA,1,0,0,0,0
Data Scientist,$90K-$146K (Glassdoor est.),"The Smule mission is to connect people all over the world through the joy of making music at massive social scale. Music is much more than just listening… it's about creating, sharing, discovering, participating, and connecting with people. It is a social network with the power to break down barriers, touch souls and bring people together from all over the world.

At Smule, your work will directly impact the product experience of millions of users. You will work collaboratively alongside a team of talented data scientists on cutting-edge projects that have high visibility. You will leverage our datasets that contain demographic, transactional, behavioral, social, text, and audio and video data. We offer a stable, collaborative, and a supportive work environment with a constant stream of new things to learn.

If you have a passion for quality data science and software engineering practices, and enjoy working in a fast-paced, iterative, and a highly rewarding development environment, then Smule is the place for you!

Responsibilities:
Build, validate, and deploy machine learning models and recommender systems in batch and real time pipeline
Have a customer first approach with a focus on improving user experience by optimizing functional and non-functional parameters such as performance, accessibility, and security.
Write technical specifications, document design approach and all findings, and share with the team
Show thought leadership and effectively incorporate machine learning into product features
Be a high-performing team player who enjoys collaborating with, learning from, and mentoring other team members to create a positive work environment.
Automate data cleaning, transformations, feature engineering, governance, and analysis.
Communicate findings clearly and succinctly to technical and non-technical audience.
Requirements
4+ years experience in a data scientist role with a proven track record of deploying machine learning models to production
Strong programming skills in Python and Scala and distributed technologies such as Spark, Kafka, and Hadoop
Ability to use machine learning frameworks such as scikit-learn, SparkML, or Tensorflow, and tools such as notebooks (Jupyter, Zepellin).
Experience with NoSQL and SQL databases, such as Cassandra and Snowflake, respectively.
Experience in building and deploying machine learning recommender systems a plus
MS/PhD in computer science, mathematics, statistics, or related fields, or equivalent industry experience.
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status",3.7,"Smule
3.7","San Francisco, CA",-1,51 to 200 Employees,2008,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1,0,0,90,146,118.0,"Smule
",1, CA,1,0,1,0,0
Card Data Scientist,$90K-$146K (Glassdoor est.),"McLean 2 (19052), United States of America, McLean, Virginia

At Capital One, were building a leading information-based technology company. Still founder-led by Chairman and Chief Executive Officer Richard Fairbank, Capital One is on a mission to help our customers succeed by bringing ingenuity, simplicity, and humanity to banking. We measure our efforts by the success our customers enjoy and the advocacy they exhibit. We are succeeding because they are succeeding.

Guided by our shared values, we thrive in an environment where collaboration and openness are valued. We believe that innovation is powered by perspective and that teamwork and respect for each other lead to superior results. We elevate each other and obsess about doing the right thing. Our associates serve with humility and a deep respect for their responsibility in helping our customers achieve their goals and realize their dreams. Together, we are on a quest to change banking for good.

Card Data Scientist
Job Description
Data is at the center of everything we do. As a startup, we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988! Fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a Fortune 200 company and a leader in the world of data-driven decision-making.

As a Data Scientist at Capital One, youll be part of a team thats leading the next wave of disruption at a whole new scale, using the latest in computing and machine learning technologies and operating across billions of customer records to unlock the big opportunities that help everyday people save money, time and agony in their financial lives.

In this role, you will:
Partner with a cross-functional team of data scientists, software engineers, and product managers to deliver a product customers love
Leverage a broad stack of technologies Python, Conda, AWS, H2O, Spark, and more to reveal the insights hidden within huge volumes of numeric and textual data
Build machine learning models through all phases of development, from design through training, evaluation, validation, and implementation
Flex your interpersonal skills to translate the complexity of your work into tangible business goals

The Ideal Candidate is:
A leader. You challenge conventional thinking and work with stakeholders to identify and improve the status quo. Your passionate about talent development for your own team and beyond.
Statistically-minded. Youve built models, validated them, and backtested them. You know how to interpret a confusion matrix or a ROC curve. You have experience with clustering, classification, sentiment analysis, time series, and deep learning.
A data guru. Big data doesnt phase you. You have the skills to retrieve, combine, and analyze data from a variety of sources and structures. You know understanding the data is often the key to great data science.
Basic Qualifications:
Bachelors Degree plus 5 years of experience in data analytics, or Masters Degree plus 3 years in data analytics, or PhD
At least 1 year of experience in open source programming languages for large scale data analysis
At least 1 year of experience with machine learning
At least 1 year of experience with relational databases
Preferred Qualifications:
Masters Degree in STEM field (Science, Technology, Engineering, or Mathematics) plus 3 years of experience in data analytics, or PhD in STEM field (Science, Technology, Engineering, or Mathematics)
At least 1 year of experience working with AWS
At least 3 years experience in Python, Scala, or R
At least 3 years experience with machine learning
At least 3 years experience with SQL
Capital One will consider sponsoring a new qualified applicant for employment authorization for this position.",3.9,"Capital One
3.9","McLean, VA",-1,10000+ Employees,1994,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1,0,0,90,146,118.0,"Capital One
",1, VA,1,0,1,1,0
Data Scientist,$90K-$146K (Glassdoor est.),"About Us:


We make software that anyone can mold and shape to take on every challenge from taking personal notes to running large companies. We've been building together since 2016 and are trusted by customers including Nike, Airbnb, Slack, Samsung, and more. We're excited to be growing a team as diverse and creative as the millions of people we reach worldwide, and a company where everyone can thrive.

About The Role:


Do you want to help define what data means at Notion? As one of our first Data Scientists, you'll be instrumental in setting what our data strategy looks like as we grow the business, and then doing the hands on work to execute against it. There will be significant variation from one day to the next, but whether you're exploring what a successful Notion account looks like, building out a core activity data set, or creating a model to deliver leads to the sales team, you'll absolutely be having impact on the direction of the business.

What You'll Do:
You'll set the foundation for what data means at Notion, determining how we balance product intuition with analytical rigor.
You'll build data pipelines that transform messy raw data into tables that are reliable, broadly useful, and clear. (We currently use DBT, Snowflake, Mode Analytics, Fivetran, Census, Amplitude, Segment, and more).
You'll collaborate with team leads across the business to understand and support their data needs.
You'll design and enact the process for using statistical inference to evaluate the success of changes, from product launches to marketing campaigns.
You'll build models to understand and predict things like user growth, product engagement, conversion, churn, and more.
You'll build and maintain KPI dashboards that teams rely on for making key decisions.
You'll communicate your findings with the rest of the company, and drive and verify change in our product and business (Insights are useful. Impact is even better!)
What We're Looking For:


You've spent meaningful time as a data scientist.
You are a SQL expert. You have no problem regularly leveraging window functions, UDFs, self-joins, and other complex SQL functions to accomplish your data analysis goals.
You have expertise in at least one scripting language (ideally Python or R).
You know how to use statistical inference to drive product and business recommendations.
You have experience building predictive models, and you know how to evaluate their effectiveness.
You have a bias for using the right tools to get a job done with maximum efficiency. You have experience making tradeoffs between speed and accuracy.
You have strong product sense and user intuition which inform the questions you ask of the data you are analyzing.
Bonus Points:


You have led or managed a Data Science team.
You have led initiatives across multiple product areas and communicated findings with leadership and product teams.
You have worked at a fast-growing start-up.
You have experience building out data infrastructure that facilitates speed, reliability, and scalability.
You have prior experience with data-distributed tools (Scalding, Hadoop, Pig, etc) and statistical libraries.",5.0,"Notion
5.0","San Francisco, CA",-1,1 to 50 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,90,146,118.0,"Notion
",1, CA,1,0,0,0,0
Data Scientist,$90K-$146K (Glassdoor est.),"Position Overview

The data scientist will use a diverse range of data-focused skills and experience, both technical and analytical. Possesses a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Responsibilities

Work with large, complex, and disparate data sets
Design and implement innovative ways to analyze and exploit the customer's data holdings
Research and report on a wide variety of customer's inquiries
Raise proactive inquiries based on observations and proposed data analysis/exploitation
Solve difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Develop custom searches
Communicate and coordinate with internal and external partners as needed

Required Qualifications

Thorough knowledge of analytic tools and methodologies such as probability and statistics, formal modeling, computational social sciences, computer science, machine learning and/or scientific computing.
Ability to code or script in one or more programming/scripting languages
Understanding and use of algorithms such as classification, regression, clustering, and anomaly detection
Knowledge of relational databases and/or non-relational data stores, including RDBMS and large-scale distributed systems (e.g. Hadoop)
Demonstrated ability to use technical and analytic skills to solve complex investigative problems
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
Active TS/SCI with polygraph required

Preferred Qualifications

Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)",5.0,"Data Works
5.0","Chantilly, VA",-1,1 to 50 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),-1,0,0,90,146,118.0,"Data Works
",1, VA,0,0,0,0,0
Data Scientist,$90K-$146K (Glassdoor est.),"THE ROLETesla's mission is to accelerate the world's transition to sustainable energy. Tesla’s Finance Analytics team sits at the intersection of financial analysis, business intelligence, data engineering, and data science to support this mission by converting raw data into actionable insights.We are looking for a senior data scientist who can play a foundational role in measuring, predicting, and managing risk across Tesla.RESPONSIBILITIES· Contribute on all the stages of Data Science projects: from performing raw data mining to translating complex technical topics into business solutions.· Effectively communicate actionable insights into Product offerings at all levels of the organization.· Collaborate closely with leadership, engineering, and other stakeholders to improve our view of modeling and decision engines.· Solve complex industrial and technical problems using advanced mathematical modeling and optimization techniques, including but not limited to, big data pre-processing, problem formulation, features engineering, algorithmic selection and evaluation, hyper-parameter tuning for machine learning, and deployment.REQUIREMENTS· MS. or equivalent experience in a quantitative field (i.e. Predictive Analytics, Applied Mathematics, Statistics, Computer Science, Artificial Intelligence, Engineering).· Proven track record of delivering risk predictive models and analytics for financial industry using regression analysis, time series, probabilistic models, supervised and unsupervised methods at various customers interaction stages as underwriting, early warning risk detection and losses forecast.· Proficiency in Python, SQL and experience with ML libraries and frameworks like Scikit-learn, h2o or Spark ML.· Experience engineering information out of massive, complex and, in some cases, unstructured datasets.· Ability to apply a strong business sense with technical skills to effectively balance decisions around the complexity and speed of the project delivery.· Strong written, verbal, and interpersonal communication skills. Ability to effectively communicate at all levels in the organization.· Ability to self-start and self-direct work in an unstructured environment, comfortable dealing with ambiguity.· Excellent problem-framing, problem solving and project management skills and ability to change direction quickly.Preferred· Experience working within a Big Data environment.· Experience with git and version control workflows.Tesla participates in the E-Verify Program",3.5,"Tesla
3.5","Fremont, CA",-1,10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD),-1,0,0,90,146,118.0,"Tesla
",1, CA,1,0,1,0,1
Data Scientist,$90K-$146K (Glassdoor est.),"Senior Data Scientist

Location: NYC Office or Fully Remote

About Vic.ai

Vic.ai is creating the ""Intelligent Accounting"" era, using artificial intelligence to automate accounting and provide advisory, business insight, and eventually business foresight.

We're a Series A stage start-up, founded by three Norwegian entrepreneurs and backed by renowned Silicon Valley investors (including Costanoa Ventures, Cowboy Ventures, and GGV Capital). We're US-based, but our team is global, from New Zealand to California. We're bringing AI to Finance and Accounting because the industry is ripe for automation and big-data insight and the market is huge: $200B just in the US.

We have two main office locations, New York and Oslo. We have a well established remote-work culture, and over 50% of our team has worked fully remotely since we started.

About you

You've been a software engineer for 5+ years, but you've been a tinkerer and a builder your whole life. We're a team of builderswhen we aren't building Vic.ai, we're tinkering with a personal project, contributing to open source, modding a drone, building a computer from components, etc.

You know a great data pipeline from a standard one, because you started out building textbook ones, and learned through experience all the things that make a pipeline robust, transparent, and scalable.

You're ready for the next step in your career, ready to take on fast-moving challenges. You're enthusiastic about AI and the possibilities it opens for software development and transforming traditional work. You aim at reaching greatness and delivering exceptional outcomes in your work.

As a team player, you are not afraid of reaching out to your colleagues to discuss development challenges, especially when you are stuck trying to solve a specific issue.

You are fluent in English.

Role details

You will become part of our core back-end team reporting to our Engineering Manager and responsible for the systems that tie everything together into a production environment for our customers. The main focus of the role is to develop and scale our core cloud-based processing service, which includes our OCR technology, extracting data from various sources into databases, generating datasets for machine learning and structuring communication with our AI models.

We mainly develop in and use
Python
Pandas
AWS (EC2, RDS, KMS, SNS, etc)
Docker + Kubernetes + Rancher
Git
extensively throughout our platform, so advance knowledge of these is highly preferred.

In addition, our technology stack includes the following components, knowledge of which is desired:
Django
Celery
Elixir + Phoenix
Angular.io / TypeScript
Tesseract + Textract
TravisCi
Key areas of responsibility
You will own the data pipelines that feed and interact with our AI models! You will build them, monitor them, scale them.
Our AI eats large amounts of data. You will work closely with our AI team to set up scalable data storage solutions, for managing our datasets.
As part of continuous improvement take ownership of relevant system components to improve functionality, stability and/or capability
Qualifications

Bachelor or Master's Degree in Computer Engineering, Computer Science, Statistics, or similar studies

Experience
Experience (3+ years) with Python, including extensive experience with Pandas.
Experience operating, scaling, and optimizing databases and storage systems on the cloud. Strong AWS experience preferred
You know that deploying software is as much about the environment as it is about the code: experience with docker, unit testing, Ci systems (TravisCi or CircleCi preferred), performance monitoring, log monitoring, and security
What we offer
An exciting work environment operating at the forefront of AI technology development
A company full of talented, curious, and friendly people
A competitive compensation package
Company-paid benefits for employees such as medical, dental, vision, disability, and life insurance
The opportunity to work fully remotely
Flexible time schedules
A workstation and tools of your choice",5.0,"Vic.ai
5.0",Remote,-1,1 to 50 Employees,2016,Unknown,Internet,Information Technology,Unknown / Non-Applicable,-1,0,0,90,146,118.0,"Vic.ai
",0,Remote,1,0,0,1,0
Software Engineer - Data Visualization,$90K-$146K (Glassdoor est.),"Join ClearEdge and be a part of the team of men and women that solve some of the DoD’s most complex technical challenges. Every day, ClearEdge empowers customers in Government and industry with innovative data driven solutions.
Check out our extremely competitive benefits package at clearedgeit.com/benefits which includes a 10k annual training/education benefit, tech bonuses, and state of the art technology lab. We also offer monthly TechConnect and DeepDive collaboration sessions with our entire technical staff, fully paid.

Your mission: Work with a dynamic team and key stakeholders to generate and execute challenging solutions to mission problems.
We are seeking Software Engineers of all levels who are experienced with data visualization, interactive data-driven visualizations, and user interface design. The position requires a self-starter with excellent problem-solving skills. The right person will work closely with the customer to gather requirements for the design and development of data visualization software, techniques, and algorithms.
The candidate should have experience creating and building custom, re-usable data visualizations based on statistical and mathematical modeling and data analysis to be used to solve a variety of problems related to data reporting. Seeking engineers with the ability to overcome information overload, are familiar with accessibility compliance, information design, and human factors and usability design.
You will excel in this role if you are:
Results-oriented developer who can leverage your technical skills and techniques to successfully design, develop, and deploy analytic software solutions
Self-motivated with a desire to build new skills
Are familiar with Agile frameworks and methodologies with a desire to be a certified SCRUM Master
Enjoy learning new technologies, are a forward thinker, and are interested in growing your career with a cutting-edge technology company
A day in the life consists of:
Designing, developing, and deploying data visualizations, interactive dashboards, and user interface solutions
Applying knowledge of technical computing platforms, tools, and techniques to analyze information and data requirements obtained from data scientists, analysts, and other business stakeholders
Planning and proposing solutions for the optimization of data integration strategies, intuitive designs, and enterprise interactive dashboards
Formulating simulation models of operational problems and proposed solutions related to integrating and analyzing using dynamic data visualizations that incorporate intuitive interfaces, infographics, interactive drill-downs, movements
Working across multi-functional teams to formulate, prototype, implement, and fine tune solutions
Educating product development and operations teams on the use of data visualizations developed
Collecting feedback to make continuous improvements to new and existing data visualizations
Contributing to guidelines and design conventions and standards for modeling and data visualizations
Establishing strong, collaborative working relationships with Government customers, technical staff, and peers
What we are expecting from you:
Experience in the design, development, and deployment of software systems
Bachelor’s or Advanced degree in Computer Science, Computer Engineering, or other technical discipline
Front-end application frameworks such as Vue, React, Angular
HTML/CSS frameworks such as Bootstrap, Zurb, Material
Experience developing client-side applications using JavaScript
JavaScript libraries such as Bootstrap, jQuery, Leaflet, D3.js
Strong analysis and problem-solving experience
Nice to have:
Comfortable meeting with customers and peers to explore change requests, bugs and new ideas
Customer technical support experience
Documentation experience, to include up-front design documentation


About us: Experienced advanced analytic development company providing new Cyber solutions to current and emerging missions.
Our Core Values of Honesty, Integrity, Loyalty, Fairness, Respect, Responsibility, and Accountability drive our mission and vision and are the heart of what we do each day. We combine our Core Values with the three key elements of people, technology, and integrity to repeatedly deliver stellar results within our primary competencies.
ClearEdge is also pleased to share that we have recently expanded our prime and subcontract presence into new Cyber markets!
If this position does not fit your skillset, please visit our Careers page to explore our current openings, or contact a ClearEdge recruiter at careers@clearedgeit.com. ClearEdge is an equal opportunity employer.",4.1,"ClearEdge
4.1","Annapolis Junction, MD",-1,51 to 200 Employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),-1,0,0,90,146,118.0,"ClearEdge
",1, MD,0,0,0,0,1
Data Scientist,$90K-$146K (Glassdoor est.),"“Streets Market” in District of Columbia is seeking a Digital Marketing Specialist, and Python Developer to join our close-knit Data Analysis team.

Streets Market is a grocery retail store located in the District of Columbia. We have about 13 branches and a headquarter, The headquarter’s business is based on B2B based distribution and logistics, and Streets Market’s business is based on offline B2C.

The talents in the two fields we are trying to hire are Python developers will use Tensorflow, Web Scarapping, etc. to analyze and collect data.

It is said that distribution and logistics are the flowers of IT. Those who apply will work together with experts in various fields (Database experts, Developers, Marketers, and Business strategists) to create our own solutions by applying new IT technologies and techniques in our team.

We’re looking for a team player who is highly motivated and organized that will assist in the execution of all digital marketing strategies based on data. This role will work closely with our digital marketer towards the ultimate goal of boosting sales and building brand awareness.
Responsibilities for “Data Scientist”
Collect and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Develop custom data models and algorithms to apply to data sets.
Responsible for modeling complex business problems and discovering business insights through the use of statistical, algorithmic, mining, and visualization techniques
Data Collection: Web Scrapping (Beautifulsoup, etc)
Machine Learning
Knowledge of machine learning libraries like Scikit-learn, TensorFlow, Caffe, Keras, Familiarity with the Hadoop ecosystem (Apache Hive, Pig, HBase and Kafka)
Experience using a distributed computing platform, such as OpenCV, Numpy, Pandas
Data Visualization: Domo, Looker, or others
Python
What’ll Make You Special
Experience working with cloud computing providers such as AWS or Azure
Experience developing with Python & C#
[Language]
Strong verbal and written communication skills (Bilingual preferred: English/Korean)
[Job Type]
Full-time
[Experience]
Relevant: 3 years (Preferred)
[Benefit]
VISA Sponsorship is offered (Permanent Resident)
Competitive salary with a health insurance plan with incentive
Paid vacation days provided
[Work authorization]
Can be working eligibly in US
Job Type: Full-time

Salary: $55,000.00 to $75,000.00 /year

Experience:
django: 1 year (Preferred)
sql: 1 year (Preferred)
python: 1 year (Required)
Additional Compensation:
Commission
Bonuses
Store Discounts
Work Location:
Multiple locations
Benefits:
Health insurance
Paid time off
Visa Sponsorship Potentially Available:
Yes: H-1B work authorization
Yes: Immigrant visa sponsorship (e.g., green card sponsorship)
This Job Is Ideal for Someone Who Is:
People-oriented -- enjoys interacting with people and working on group projects
Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Innovative -- prefers working in unconventional ways or on tasks that require creativity
This Company Describes Its Culture as:
Innovative -- innovative and risk-taking
Aggressive -- competitive and growth-oriented
Schedule:
Monday to Friday
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19
Job Type: Full-time

Pay: $53,000.00 - $75,000.00 per year

Experience:
Machine Learning Library: 1 year (Required)
Web Application: 3 years (Preferred)
Python: 1 year (Required)
Language:
Korean (Required)
Additional Compensation:
Bonuses
Store Discounts
Commission
Work Location:
One location
Benefits:
Health insurance
Paid time off
This Job Is Ideal for Someone Who Is:
Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
People-oriented -- enjoys interacting with people and working on group projects
Detail-oriented -- would rather focus on the details of work than the bigger picture
Achievement-oriented -- enjoys taking on challenges, even if they might fail
Innovative -- prefers working in unconventional ways or on tasks that require creativity
This Company Describes Its Culture as:
Innovative -- innovative and risk-taking
Aggressive -- competitive and growth-oriented
Schedule:
Monday to Friday
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Temporarily due to COVID-19",3.5,"Streets Market
3.5","Washington, DC",-1,10000+ Employees,1987,Subsidiary or Business Segment,Catering & Food Service Contractors,"Restaurants, Bars & Food Services",$1 to $2 billion (USD),-1,0,0,90,146,118.0,"Streets Market
",1, DC,1,0,0,1,0
Data Scientist,$90K-$146K (Glassdoor est.),"Are you excited to help the Intelligence Community to leverage massive amounts of data in developing Machine Learning (ML) and Deep Learning (DL) models and adopting Artificial Intelligence (AI)? Eager to learn from many different enterprises use cases of AWS ML and DL? Thrilled to be key part of Amazon, who has been investing in Machine Learning for decades, pioneering and shaping the worlds AI technology?

At Amazon Web Services (AWS), we are helping the federal government build ML and DL models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. Our Professional Services organization works together with our AWS customers to address their business needs using AI.

AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML or DL models, wed love to have you join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers.

In this role, you will be able to dive deep into data, discovering root causes, and designing long-term solutions. It will be a person who likes to have fun, loves to learn, and wants to innovate in the world of AI.

Major responsibilities include:
· Understand the customers business need and guide them to a solution using our AWS AI Services, AWS AI Platforms, AWS AI Frameworks, and AWS AI EC2 Instances .
· Assist customers by being able to deliver a ML / DL project from beginning to end, including understanding the business need, aggregating data, exploring data, building & validating predictive models, and deploying completed models to deliver business impact to the organization.
· Use Deep Learning frameworks like MXNet, Caffe 2, Tensorflow, Theano, CNTK, and Keras to help our customers build DL models.
· Use SparkML and Amazon Machine Learning (AML) to help our customers build ML models.
· Work with our Professional Services Big Data consultants to analyze, extract, normalize, and label relevant data.
· Work with our Professional Services DevOps consultants to help our customers operationalize models after they are built.
· Assist customers with identifying model drift and retraining models.
· Research and implement novel ML and DL approaches, including using FPGA.

Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and we host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazons culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

· This position requires that the candidate selected be a U.S. citizen and must currently possess and maintain an active TS/SCI security clearance with polygraph


Basic Qualifications

· A Bachelor or Masters Degree in a highly quantitative field (Computer Science, Machine Learning, Operations Research, Statistics, Mathematics, etc.) or equivalent experience

· 5+ years of industry experience in predictive modeling, data science and analysis

· Previous experience in a ML or data scientist role and a track record of building ML or DL models



Preferred Qualifications

· Graduate degree in a highly quantitative field (Computer Science, Machine Learning, Operations Research, Statistics, Mathematics, etc.)

· 10+ years of industry experience in predictive modeling and analysis

· Good skills with programming languages, such as Java or C/C++

· Ability to develop experimental and analytic plans for data modeling processes, use of strong baselines, ability to accurately determine cause and effect relationships

· Consulting experience and track record of helping customers with their AI needs

· Publications or presentation in recognized Machine Learning, Deep Learning and Data Mining journals/conferences

· Experience using Python and/or R

· Knowledge of SparkML

· Able to write production level code, which is well-written and explainable

· Experience using ML libraries, such as scikit-learn, caret, mlr, mllib

· Experience working with GPUs to develop models

· Experience handling terabyte size datasets

· Track record of diving into data to discover hidden patterns

· Familiarity with using data visualization tools

· Knowledge and experience of writing and tuning SQL

· Past and current experience writing and speaking about complex technical concepts to broad audiences in a simplified format

· Experience giving data presentations

· Strong written and verbal communication skills

· Experience with AWS technologies like Redshift, S3, EC2, Data Pipeline, & EMR

· Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customers organization

· Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.9,"Amazon
3.9","Herndon, VA",-1,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),-1,0,0,90,146,118.0,"Amazon
",1, VA,1,0,1,1,0
